team,opponent,##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS
Mount St. Mary's 73,Loyola Maryland 66,10,"10 Harrison,Michaela",*,34,6-16,3-10,4-4,0-1,1,2,1,4,0,0,19
Mount St. Mary's 73,Loyola Maryland 66,43,"43 Villaflor,Natalie",*,33,6-9,0-0,2-2,1-2,3,1,3,2,1,3,14
Mount St. Mary's 73,Loyola Maryland 66,22,"22 Tomasetti,Jessica",*,36,5-9,0-2,3-3,1-5,6,2,3,0,0,1,13
Mount St. Mary's 73,Loyola Maryland 66,00,"00 Hunt,Isabella",*,35,4-8,0-0,2-2,5-2,7,4,3,2,0,7,10
Mount St. Mary's 73,Loyola Maryland 66,04,"04 Raflo,Jo",*,29,4-12,1-5,1-2,1-1,2,2,2,1,1,0,10
Mount St. Mary's 73,Loyola Maryland 66,15,"15 Lindsay-Huskey,Jasmine",,20,1-4,1-2,2-2,1-0,1,3,0,0,0,0,5
Mount St. Mary's 73,Loyola Maryland 66,25,"25 Dunham,Carissa",,7,1-1,0-0,0-0,0-0,0,2,0,0,0,0,2
Mount St. Mary's 73,Loyola Maryland 66,03,"03 Matheny,McKenzie",,6,0-0,0-0,0-0,0-0,0,1,0,0,0,0,0
Mount St. Mary's 73,Loyola Maryland 66,TM,TM TEAM,,0,0-0,0-0,0-0,2-3,5,0,0,0,0,0,0
Loyola Maryland 42,Pittsburgh 78,04,"04 Dixon, Taleah",*,25,3-17,3-10,7-8,1-1,2,2,1,4,0,3,16
Loyola Maryland 42,Pittsburgh 78,01,"01 Ratigan, Kelly",*,30,2-13,2-9,2-2,0-1,1,1,0,3,0,1,8
Loyola Maryland 42,Pittsburgh 78,45,"45 Therien, Lex",*,25,2-9,0-0,3-4,4-4,8,4,0,3,0,1,7
Loyola Maryland 42,Pittsburgh 78,10,"10 Sims, Koi",*,26,2-6,0-0,1-2,5-5,10,0,1,2,1,2,5
Loyola Maryland 42,Pittsburgh 78,22,"22 Rozzi, Bri",*,17,0-3,0-1,0-0,0-1,1,1,1,1,0,0,0
Loyola Maryland 42,Pittsburgh 78,02,"02 Van-Otoo, Meliah",,15,1-2,1-1,1-2,3-1,4,1,1,4,0,1,4
Loyola Maryland 42,Pittsburgh 78,12,"12 Garcia, Cristina",,18,0-3,0-0,1-2,3-0,3,3,0,1,0,1,1
Loyola Maryland 42,Pittsburgh 78,35,"35 Therien, Ava",,5,0-0,0-0,1-2,1-0,1,0,0,1,0,0,1
Loyola Maryland 42,Pittsburgh 78,23,"23 Espinal, Marta",,21,0-1,0-0,0-0,0-3,3,1,3,2,0,1,0
Loyola Maryland 42,Pittsburgh 78,13,"13 Tañedo, Caramina",,16,0-2,0-2,0-0,2-1,3,2,1,0,0,1,0
